                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7607,                 4.4842,                 4.2518,                 4.6476,                  7.916,                 4.3414,                0.00045,                0.00388,                0.00023,                  2e-05,                 4.6612,                 4.2372,                 4.1576,                 4.6431,                  6.868,                 4.1583,             0.00015003,             0.00015003,             0.00015003
                      2,                 4.8306,                 4.4944,                 4.1971,                 4.6068,                 7.9744,                 4.3005,                0.00045,                0.00388,                0.00023,                  2e-05,                 4.6564,                 4.2355,                  4.152,                 4.6416,                 6.8631,                 4.1558,             0.00031359,             0.00031359,             0.00031359
                      3,                 4.5105,                 4.3317,                 4.0957,                   4.32,                 6.9249,                 4.2048,                  9e-05,                0.00388,                  5e-05,                      0,                 4.6469,                 4.2336,                 4.1405,                 4.6444,                 6.8691,                 4.1537,             0.00047386,             0.00047386,             0.00047386
                      4,                 4.2138,                  4.205,                 3.8599,                 4.0205,                  6.267,                  3.961,                  9e-05,                0.00388,                  5e-05,                      0,                 4.6644,                 4.2405,                 4.1511,                 4.6692,                  6.916,                 4.1657,             0.00063082,             0.00063082,             0.00063082
                      5,                 3.8614,                  3.754,                 3.5155,                 3.5392,                 5.0016,                 3.5619,                  9e-05,                0.00388,                  5e-05,                  1e-05,                 4.7739,                 4.2826,                 4.2556,                 4.7467,                  7.076,                 4.2265,             0.00078448,             0.00078448,             0.00078448
                      6,                 3.7057,                 3.4653,                 3.2539,                 3.3541,                 4.5457,                 3.2207,                  9e-05,                0.00388,                  5e-05,                  1e-05,                 4.7608,                 4.3048,                 4.2551,                 4.7616,                 7.0785,                 4.2489,             0.00093485,             0.00093485,             0.00093485
                      7,                 3.4622,                 3.1276,                 2.9809,                 3.1032,                 3.9716,                 2.7933,                  9e-05,                0.00388,                  7e-05,                  1e-05,                 4.6114,                 4.2915,                 4.1589,                 4.6896,                 6.8932,                 4.2093,              0.0010819,              0.0010819,              0.0010819
                      8,                 3.2906,                  2.809,                 2.7388,                 2.9917,                 3.5932,                 2.4749,                0.00019,                0.00388,                0.00014,                  1e-05,                 3.8829,                 4.1296,                  3.779,                 3.8925,                 5.9642,                 3.8875,              0.0012257,              0.0012257,              0.0012257
                      9,                 3.1449,                 2.6475,                 2.5156,                 2.9526,                 3.2898,                 2.1965,                0.00232,                0.14861,                0.03162,                0.00975,                 3.5536,                 3.8554,                 3.3984,                 3.0883,                 5.3839,                 3.3962,              0.0013661,              0.0013661,              0.0013661
                     10,                 2.8934,                 2.5083,                 2.3462,                 2.7259,                 3.1192,                 2.0897,                0.00639,                0.23531,                0.07852,                0.02304,                 3.1965,                 4.5687,                 3.1169,                 2.8619,                 5.3239,                 3.1207,              0.0015033,              0.0015033,              0.0015033
                     11,                 2.7593,                  2.402,                 2.2492,                 2.6909,                 3.0066,                 1.9828,                0.54035,                0.21053,                0.06068,                0.01714,                 2.8834,                 3.1352,                 2.7649,                 2.4164,                 4.2937,                 2.7095,               0.001502,               0.001502,               0.001502
                     12,                 2.7312,                 2.3193,                 2.1912,                 2.5732,                 2.9018,                 1.8927,                0.55413,                0.23684,                0.18057,                0.06072,                 2.4716,                 2.6046,                 2.3269,                 2.0366,                 3.4539,                 2.0287,               0.001502,               0.001502,               0.001502
                     13,                 2.6965,                 2.2447,                 2.1119,                 2.5554,                 2.7647,                 1.8191,                0.17376,                0.19196,                0.17272,                0.05062,                 2.5301,                 2.5805,                 2.3022,                 2.1656,                 3.3996,                  2.163,              0.0014855,              0.0014855,              0.0014855
                     14,                 2.6941,                  2.218,                  2.031,                  2.598,                 2.7237,                 1.7709,                0.01404,                0.68921,                0.11868,                 0.0333,                 2.4678,                 2.8303,                 2.3992,                 2.2292,                 3.6414,                 2.3697,               0.001469,               0.001469,               0.001469
                     15,                 2.5678,                 2.1581,                 1.9963,                  2.456,                 2.6828,                 1.7203,                0.00586,                0.29814,                  0.017,                0.00403,                 2.6444,                 3.2151,                 2.6535,                 2.3142,                 4.0542,                 2.7366,              0.0014525,              0.0014525,              0.0014525
                     16,                 2.5997,                 2.1668,                 1.9031,                 2.5656,                 2.6227,                 1.6379,                0.00821,                0.36638,                0.04204,                0.00924,                 2.9179,                 3.0968,                 2.7836,                 2.6149,                 3.8839,                 2.6062,               0.001436,               0.001436,               0.001436
                     17,                 2.5324,                 2.1243,                 1.8785,                 2.4693,                 2.5662,                 1.6163,                0.01006,                0.42534,                 0.0391,                0.01161,                 2.6339,                 3.0179,                 2.5793,                 2.2756,                 3.6728,                 2.3307,              0.0014195,              0.0014195,              0.0014195
                     18,                 2.5309,                 2.0969,                 1.8556,                 2.3828,                 2.5826,                 1.5938,                0.01392,                0.54927,                0.04911,                0.01614,                 2.4691,                 2.9051,                 2.5357,                 2.1175,                 3.5869,                 2.4231,              0.0014029,              0.0014029,              0.0014029
